index,prob
1,0.152879797295725
2,0.120245268273849
3,0.100920428541168
4,0.0858170658839085
5,0.0734265826863065
6,0.0630537311073237
7,0.0542762036203547
8,0.0468001804805818
9,0.0404052785961743
10,0.0349186426336912
11,0.0302008339469136
12,0.0261372713407394
13,0.0226325993181219
14,0.0196067459396605
15,0.0169920302990992
16,0.0147309627123837
17,0.0127745254175163
18,0.011080800467742
19,0.00961385696631778
20,0.00834283730798546
21,0.00724119948549906
22,0.00628608394981878
23,0.00545778129059538
24,0.00473928246408539
25,0.00411589723715644
26,0.00357492943190041
27,0.00310539975957047
28,0.00269780873046166
29,0.0023439334557932
30,0.00203665321336399
31,0.00176979949727851
32,0.0015380269611559
33,0.00133670222886484
34,0.00116180801296173
35,0.00100986036834583
36,0.000877837232258316
37,0.000763116673455411
38,0.000663423502380911
39,0.00442481366949188
